iter	Passed	Remaining
446	1127	1395
447	1129	1391
448	1130	1387
449	1131	1383
450	1132	1378
451	1133	1374
452	1135	1370
453	1141	1373
454	1143	1369
455	1144	1365
456	1146	1362
457	1148	1359
458	1150	1355
459	1152	1352
460	1153	1348
461	1154	1344
462	1156	1340
463	1157	1337
464	1159	1334
465	1165	1335
466	1166	1331
467	1168	1328
468	1169	1324
469	1171	1320
470	1172	1316
471	1173	1312
472	1174	1308
473	1178	1308
474	1180	1304
475	1182	1301
476	1183	1297
477	1185	1294
478	1186	1290
479	1187	1286
480	1189	1283
481	1192	1281
482	1194	1278
483	1195	1274
484	1196	1270
485	1198	1267
486	1199	1263
487	1201	1260
488	1202	1256
489	1203	1252
490	1205	1249
491	1207	1246
492	1208	1242
493	1209	1239
494	1211	1235
495	1212	1232
496	1214	1228
497	1215	1225
498	1221	1226
499	1222	1222
500	1223	1219
501	1225	1215
502	1226	1211
503	1227	1208
504	1228	1204
505	1230	1201
506	1231	1197
507	1235	1196
508	1237	1193
509	1239	1190
510	1240	1187
511	1241	1183
512	1242	1179
513	1244	1176
514	1245	1172
515	1246	1169
516	1248	1166
517	1250	1163
518	1251	1159
519	1252	1156
520	1254	1152
521	1255	1149
522	1256	1146
523	1261	1146
524	1264	1143
525	1265	1140
526	1267	1137
527	1268	1134
528	1270	1130
529	1271	1127
530	1277	1128
531	1278	1124
532	1279	1121
533	1280	1117
534	1282	1114
535	1283	1110
536	1284	1107
537	1285	1104
538	1287	1100
539	1291	1099
540	1292	1096
541	1294	1093
542	1295	1090
543	1297	1087
544	1298	1083
545	1299	1080
546	1300	1077
547	1302	1073
548	1307	1074
549	1308	1070
550	1310	1067
551	1311	1064
552	1312	1061
553	1314	1057
554	1315	1054
555	1316	1051
556	1322	1051
557	1324	1048
558	1325	1045
559	1326	1042
560	1327	1039
561	1329	1036
562	1331	1033
563	1337	1033
564	1338	1030
565	1340	1027
566	1342	1025
567	1343	1021
568	1344	1018
569	1346	1015
570	1347	1012
571	1351	1011
572	1352	1008
573	1354	1005
574	1355	1002
575	1357	999
576	1358	995
577	1360	993
578	1361	990
579	1367	990
580	1368	987
581	1370	984
582	1371	980
583	1372	977
584	1374	974
585	1375	971
586	1376	968
587	1381	968
588	1383	965
589	1385	962
590	1387	959
591	1388	957
592	1390	954
593	1391	951
594	1397	950
595	1398	948
596	1400	945
597	1401	942
598	1402	939
599	1404	936
600	1405	933
601	1406	930
602	1410	928
603	1411	925
604	1413	922
605	1414	919
606	1415	916
607	1417	913
608	1418	910
609	1420	907
610	1421	905
611	1428	905
612	1429	902
613	1430	899
614	1432	896
615	1433	893
616	1434	890
617	1436	887
618	1437	884
619	1439	882
620	1441	879
621	1443	876
622	1444	874
623	1445	871
624	1447	868
625	1449	865
626	1450	862
627	1452	860
628	1453	857
629	1454	854
630	1456	851
631	1457	848
632	1459	846
633	1460	843
634	1464	842
635	1466	839
636	1467	836
637	1468	833
638	1470	830
639	1471	827
640	1472	824
641	1474	822
642	1476	819
643	1483	820
644	1485	817
645	1486	814
646	1487	811
647	1489	809
648	1490	806
649	1494	804
650	1496	802
651	1497	799
652	1500	797
653	1502	794
654	1504	792
655	1506	789
656	1511	789
657	1513	786
658	1514	783
659	1515	780
660	1517	778
661	1518	775
662	1520	772
663	1521	769
